PC5,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.525508273,0.652939332,0.525352078
2,0.524796016,0.649211064,0.522741393
3,0.742992895,0.948899947,0.597534663
4,0.800471495,0.950509672,0.618936466
5,0.810490828,0.950062327,0.625771246
6,0.767280847,0.948442855,0.627957313
7,0.80462344,0.948391317,0.715000132
8,0.789907275,0.945299864,0.709259938
9,0.750584828,0.954154141,0.717300852
10,0.758976327,0.955559994,0.706767442
11,0.768653549,0.954640709,0.718188158
12,0.74951161,0.954673386,0.721580389
13,0.766957401,0.954430092,0.71936433
14,0.734817585,0.953781257,0.718577614
15,0.744030345,0.944621128,0.713166485
16,0.752153129,0.94128203,0.722590082
17,0.758617984,0.94074185,0.721553779
18,0.759072569,0.940750976,0.7256638
19,0.760060879,0.941185315,0.73356653
20,0.756883813,0.942313802,0.732384681
21,0.750689057,0.942180193,0.726073554
22,0.753416478,0.947130182,0.731042237
23,0.750964099,0.947461495,0.72899628
24,0.750336025,0.947265727,0.736650983
25,0.755800672,0.947516891,0.726889894
26,0.758105386,0.94681186,0.724893835
27,0.797815464,0.952279282,0.729076634
28,0.792436377,0.952788456,0.737189315
29,0.802015957,0.952697755,0.735506635
30,0.797803974,0.952919882,0.731972633
31,0.786240118,0.946856975,0.731188645
32,0.795308103,0.940567845,0.736989311
33,0.800320931,0.946985413,0.733344572
34,0.809667984,0.947296914,0.734835196
35,0.812244562,0.947608947,0.743234179
36,0.823400264,0.946621101,0.737021493
37,0.825821016,0.942207815,0.734650839
38,0.830369311,0.942367482,0.732321768
,0.810490828,0.950509672,0.625771246
,0.830369311,0.955559994,0.743234179
