PC2,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.426542777,0.791956568,0.544947514
2,0.484806427,0.815112683,0.561243564
3,0.359853491,0.824332118,0.519478411
4,0.424128391,0.860154602,0.519911409
5,0.47376907,0.896698007,0.522658493
6,0.466978174,0.899385984,0.515929805
7,0.444819613,0.899403708,0.506596627
8,0.398331061,0.905393915,0.521373796
9,0.449980454,0.896212257,0.531099585
10,0.395569934,0.880778092,0.550698936
11,0.370715018,0.838930096,0.52356151
12,0.47976183,0.89285415,0.520561437
13,0.389342131,0.893101022,0.504383131
14,0.421030372,0.903091075,0.541518207
15,0.337791071,0.901322426,0.548317376
16,0.420101075,0.902821515,0.5155572
17,0.495558603,0.90719687,0.54291821
18,0.425754213,0.88740935,0.545648508
19,0.443334077,0.885910607,0.548300601
20,0.52590886,0.873095996,0.556627848
21,0.673248345,0.881628324,0.530842413
22,0.725001009,0.850047037,0.546496965
23,0.77410981,0.86887676,0.530521132
24,0.674811361,0.852484212,0.539863813
25,0.750371237,0.844167376,0.551257933
26,0.707277126,0.862386985,0.569223826
27,0.765495398,0.833806259,0.539768585
28,0.870695864,0.841989279,0.532037971
29,0.893168342,0.847504254,0.510456123
30,0.891491201,0.842902499,0.522578105
31,0.859358002,0.853645215,0.510437144
32,0.839391242,0.842426671,0.547559441
33,0.838435097,0.831922022,0.520465561
34,0.863194358,0.83810254,0.542957644
35,0.898509621,0.844740366,0.565214327
36,0.882408289,0.795709252,0.547609304
,0.484806427,0.896698007,0.561243564
,0.898509621,0.90719687,0.569223826
