PC4,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.52751043,0.496823844,0.541997016
2,0.517952312,0.495628114,0.544239973
3,0.625994004,0.505515295,0.55065249
4,0.597606492,0.514845641,0.55619526
5,0.574546565,0.526221702,0.550978197
6,0.567480622,0.526112739,0.557935095
7,0.690261954,0.648457039,0.59558473
8,0.687004599,0.751836496,0.646298623
9,0.685429243,0.752227315,0.624387393
10,0.79411816,0.755675134,0.657949786
11,0.825216605,0.753959376,0.656987457
12,0.822258805,0.754820673,0.641316907
13,0.828639216,0.748774539,0.64457621
14,0.84555258,0.753817623,0.639580912
15,0.843363746,0.752939444,0.636160555
16,0.839659636,0.77722607,0.720229923
17,0.840883945,0.776242231,0.71905242
18,0.842539067,0.782057262,0.713510586
19,0.855130092,0.78045778,0.723788712
20,0.877092138,0.784601179,0.729119286
21,0.882436494,0.791218425,0.722439365
22,0.878945323,0.795945674,0.724059881
23,0.883586552,0.792068958,0.724409138
24,0.88322744,0.794067661,0.738587602
25,0.886456526,0.804721443,0.740893512
26,0.88620971,0.804733106,0.742877833
27,0.884827636,0.816663895,0.730065078
28,0.882744045,0.818938339,0.735862277
29,0.890298607,0.831357991,0.736763099
30,0.884875444,0.830889989,0.74025882
31,0.888421806,0.82997781,0.729211091
32,0.899539828,0.829976323,0.729752779
33,0.899112481,0.838102898,0.728191398
34,0.90240347,0.842757094,0.725423312
35,0.908245947,0.845492754,0.731553627
36,0.905762895,0.839651311,0.743823484
37,0.905556232,0.838301201,0.734761452
,0.625994004,0.526221702,0.55619526
,0.908245947,0.845492754,0.743823484
