KC3,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.471782404,0.596352724,0.471290433
2,0.475500134,0.590068118,0.469775827
3,0.472093629,0.607904807,0.536734055
4,0.43639938,0.581636811,0.512033986
5,0.479398332,0.618650715,0.519566569
6,0.44653845,0.616704377,0.524266456
7,0.487589593,0.647273218,0.52299746
8,0.417977288,0.640249219,0.494584624
9,0.44741229,0.635079397,0.484511236
10,0.456407178,0.635800386,0.520370159
11,0.439009737,0.620785331,0.510058299
12,0.492163097,0.642016958,0.522827159
13,0.443246708,0.644741532,0.510679039
14,0.472357238,0.70456097,0.537816333
15,0.406904377,0.691682592,0.505267082
16,0.473146156,0.67031401,0.550840601
17,0.540299218,0.689057153,0.578018535
18,0.532272498,0.695123976,0.558544403
19,0.584660389,0.708997318,0.58617377
20,0.615308128,0.690032463,0.582558805
21,0.627034043,0.685284894,0.607268623
22,0.655019708,0.688441149,0.575056665
23,0.664754418,0.693831915,0.595564335
24,0.65903439,0.682837023,0.58002759
25,0.717250924,0.681306862,0.600792554
26,0.713119045,0.692692822,0.611638777
27,0.717115454,0.700849798,0.606959319
28,0.729280023,0.691707693,0.611884208
29,0.731971023,0.673363156,0.606185425
30,0.730591805,0.685514234,0.600253787
31,0.731282505,0.706774276,0.601899197
32,0.768202442,0.695259652,0.659468471
33,0.761745677,0.704025933,0.643693373
34,0.766504402,0.709749459,0.627989098
35,0.752308767,0.715214521,0.656566763
36,0.734578171,0.676030944,0.643752641
37,0.74691496,0.709475428,0.599235583
38,0.747556488,0.683421296,0.632681368
39,0.72929124,0.683012118,0.609614477
,0.479398332,0.618650715,0.536734055
,0.768202442,0.715214521,0.659468471
